id,movie_title,overview,director,actor_1,actor_2,actor_3,genres,popularity,year,vote_average,vote_count,describe
404412.0,kaash... hamara dil pagal na hota,"A reigning monarch, Raja Mahendra Pratap, in India has a problem, to be precise five problems, from five different wives, all deceased now, in the shape and form of his sons, Shiv, Veer, Gyan, Rudra, and Surya, who have grown up, are matured, but still behave like children.",Mangal Anand,Mukesh Ahuja,Chetan Aneja Nigel Borade,unknown,Comedy,0.6,2003,,,Mukesh Ahuja Chetan Aneja Nigel Borade unknown Mangal Anand Comedy 0.6
4254.0,kal ho naa ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikhil Advani,Jaya Bachchan,Shah Rukh Khan,Saif Ali Khan,Comedy Drama,8.263,2003,7.5,295.0,Jaya Bachchan Shah Rukh Khan Saif Ali Khan Nikhil Advani Comedy Drama 8.263
109454.0,kash aap hamare hote,"Yashwantraj Mankotia (Om Puri) has brought up the daughter of his late friend, Amrita (Juhi Babbar) with love and affection as his own daughter. He plans to marry her to his only son, Randeep (Sharad Kapoor), who is settled in Canada. Randeep is reluctant to visit India to see his father, but does so when his father feigns heart trouble. Randeep is upset that he has to leave his business. He gets even more upset when his father proposes marriage with Amrita. Randeep reluctantly agrees to marry Amrita in order to get his father's inheritance. After the marriage, Randeep and Amrita travel to Canada, where Amrita finds that Randeep has a live-in girlfriend/spouse/business partner by the name of Simone (Saadhika).",Ravindra Peepat,Juhi Babbar,Sonu Nigam,unknown,Family Romance Music,0.6,2003,,,Juhi Babbar Sonu Nigam unknown Ravindra Peepat Family Romance Music 0.6
879371.0,khanjar: the knife,"Friday the 13th is the night when the dead come back to earth.  On one such night, Chander Sharma's son gets a call informing him of the murder of each of his father's four associates on the 13th of every month.  Chander Sharma's son is in love with Shilpa (Tabu) and his rival is Raja (Sunil Shetty), who also becomes embroiled in the mystery.  The only clue they have is a pair of gloves, leaving the police baffled.  Meanwhile, the murders continue...",Chander Sharma,Sunil Shetty,Tabu,unknown,Thriller Mystery Action,0.6,2003,10.0,1.0,Sunil Shetty Tabu unknown Chander Sharma Thriller Mystery Action 0.6
72578.0,khwahish,"A story bout a relationship that's ended. Khwahish traces the sexy, funny and intense relationship of Amar Ranawat(Himanshu Malik) and Lekha Khorzuvekar (Mallika Sherawat) from the time they meet in the last semester of college, their quirky romance, marriage and its ups and downs to the tragic end five years later. Probably the first Bollywood musical about the trials and tribulations of a young Indian urban couple.",Govind Menon,Mallika Sherawat,Himanshu Malik,unknown,Drama Romance,0.651,2003,6.0,2.0,Mallika Sherawat Himanshu Malik unknown Govind Menon Drama Romance 0.651
25516.0,koi... mil gaya,A developmentally disabled man meets an extraterrestrial after a huge spacecraft leaves it behind.,Rakesh Roshan,Rajat Bedi,Rekha,Hrithik Roshan,Drama Science Fiction Action,6.808,2003,6.9,152.0,Rajat Bedi Rekha Hrithik Roshan Rakesh Roshan Drama Science Fiction Action 6.808
48923.0,kuch naa kaho,"Raj a mere bachelor, who has no intention of marrying is being convinced by his uncle. His uncle passes on the duty to Namrata a married woman whose husband Sanjeev leave her five years ago. Namrata is responsible for finding Raj a suitable bride, while she is busy finding girls for him, he is busy along with his mischievous friend Adi straying away all the girls by making up wired plans. But Raj falls in love with the match - maker herself. While this is happening Sanjeev, Namrata's husband return and foil all plans between Raj and Namrata.",Rohan Sippy,Abhishek Bachchan,Aishwarya Rai,Arbaaz Khan,Comedy Drama Romance,1.585,2003,5.8,22.0,Abhishek Bachchan Aishwarya Rai Arbaaz Khan Rohan Sippy Comedy Drama Romance 1.585
71920.0,loc: kargil,"This film dramatizes events that occurred as the hostility between India and Pakistan over Kashmir came to a head in 1999, when more than 1,000 men crossed the ""Line of Control"" that separates the two locations. Taliban and Pakistani soldiers took over the area, blocking the main road that linked the regions. Standing their ground, Indian soldier drove them away, but not without losing more than 400 of their own men first.",J. P. Dutta,Ajay Devgn,Sanjay Dutt,Suniel Shetty,Action War History,2.017,2003,6.0,13.0,Ajay Devgn Sanjay Dutt Suniel Shetty J. P. Dutta Action War History 2.017
166256.0,main madhuri dixit banna chahti hoon,"The story of a girl in a small North Indian town who is an obsessive fan of top Hindi movie star Madhuri Dixit, and dreams of moving to Mumbai to become a film heroine herself.",Chandan Arora,Antara Mali,Rajpal Yadav,unknown,Drama Comedy,0.655,2003,,,Antara Mali Rajpal Yadav unknown Chandan Arora Drama Comedy 0.655
46413.0,mumbai matinee,"Debu Chatterjee is in his 30s, and is chided by everyone he knows as a ""virgin"". Tired of being stereotyped in this manner, he confides in Baba Hindustani, and Pyarelal about his predicament, and they offer to help him out, with hilarious results. Then one day, while watching a movie in a theater, Debu is shocked to see himself in an adult sex film...",Anant Balani,Rahul Bose,Parijat Zorabian,Anusha Dhandekar,Drama Comedy Romance,0.961,2003,4.0,4.0,Rahul Bose Parijat Zorabian Anusha Dhandekar Anant Balani Drama Comedy Romance 0.961
